AN	Species	Wings	Male	Female	Dimorphism	Photos_Male	Photos_Female
NC_037204.1	Sphodromantis_lineola	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Sphodromantis_lineola_pinguis_PM_DH_50mm_1	2.5.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Sphodromantis_lineola_pinguis_HM_DH_50mm_1	2.5.jpg_"
KX434840.1	Sphodromantis_viridis	M	M	M	no	https://www.inaturalist.org/observations/112194670_	https://www.inaturalist.org/observations/43106475_
KX434816.1	Spilomantis_occipitalis	M	M	M	no	https://www.inaturalist.org/observations/93026115_	..
KX091854.1	Spilomantis_occipitalis_2	M	M	M	no	https://www.inaturalist.org/observations/93026116_	..
MW357302.1	Stagmatoptera_biocellata	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Stagmatoptera_biocellata_M_DV_50mm_1	4.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Stagmatoptera_biocellata_HF_DH_50mm_1	4.jpg_"
NC_086820.1	Statilia_agresta	M	M	M	no		
NC_065761.1	Statilia_flavobrunnea	M	M	M	no	https://www.inaturalist.org/observations/305987950_	https://www.inaturalist.org/observations/279648006
NC_065760.1	Statilia_maculata	M	M	M	no	https://www.inaturalist.org/observations/94523717_	..
KU201316.1	Statilia_sp.	M	M	M	no		"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC004563_Statilia_sp_F_DH_50mm_1	4.jpg_"
OL414957.1	Statilia_sp._2	M	M	M	no		"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC004563_Statilia_sp_F_DH_50mm_1	4.jpg_"
